time,temperature_2m_mean (°C),cloud_cover_mean (%),rain_sum (mm),wind_gusts_10m_max (km/h)
1/01/2012,20.4,4,0,36
2/01/2012,21.8,15,0,38.2
3/01/2012,22.6,37,0,39.6
4/01/2012,23.7,63,1.4,58.7
5/01/2012,21.6,77,0.5,38.2
6/01/2012,19.8,79,2.2,46.1
7/01/2012,20.7,64,0,47.5
8/01/2012,22.6,84,4.5,32.8
9/01/2012,22.9,65,0.3,40.3
10/01/2012,22.9,80,0,24.1
11/01/2012,21.7,20,0,64.1
12/01/2012,18.3,16,0,42.8
13/01/2012,20,40,0,45.7
14/01/2012,19.6,97,11.2,33.1
15/01/2012,19.3,95,18.7,37.4
16/01/2012,20.5,62,4.9,41.8
17/01/2012,22.3,39,0,39.2
18/01/2012,22.6,43,0,29.2
19/01/2012,21.8,59,0.1,41.8
20/01/2012,22.2,59,0,36.7
21/01/2012,21.9,89,6.1,34.2
22/01/2012,21.6,50,0.3,49.3
23/01/2012,21.5,76,0.1,41.4
24/01/2012,21.4,100,4.5,30.6
25/01/2012,21.6,100,17.9,35.6
26/01/2012,22.4,96,4.5,35.3
27/01/2012,22,85,3.7,49
28/01/2012,22.6,96,0.6,34.6
29/01/2012,23.3,79,0.7,46.4
30/01/2012,26.3,68,0.2,62.6
31/01/2012,23.8,92,0.3,55.4
1/02/2012,19.9,100,6,42.5
2/02/2012,19.2,100,20,33.1
3/02/2012,19.9,94,14.6,32.8
4/02/2012,21,47,0.8,32.4
5/02/2012,22,24,0,37.1
6/02/2012,21.6,48,0.8,49.7
7/02/2012,21,98,3.1,41
8/02/2012,21.1,96,3.7,36.4
9/02/2012,21.3,56,9.3,41
10/02/2012,21.3,58,26.6,47.2
11/02/2012,20.2,50,11.8,27
12/02/2012,20.4,45,0,33.5
13/02/2012,20.3,62,5.9,32
14/02/2012,20.5,56,0.8,34.6
15/02/2012,21.2,30,0.3,38.5
16/02/2012,21.3,59,0,36
17/02/2012,22.2,50,0,33.5
18/02/2012,22.1,57,0.7,31
19/02/2012,22.5,65,4.5,28.1
20/02/2012,22,88,9.7,36.7
21/02/2012,20.9,69,5.2,49
22/02/2012,20.6,78,0.9,31.3
23/02/2012,21.4,21,0,29.5
24/02/2012,22.4,19,0,31
25/02/2012,22,55,0,36.7
26/02/2012,22.5,95,2.9,23.8
27/02/2012,23.8,70,1.7,23.8
28/02/2012,24.7,99,1.2,35.3
29/02/2012,21,100,9.9,34.6
1/03/2012,22.7,100,21.6,47.9
2/03/2012,19.2,100,20.5,54.4
3/03/2012,20,100,3.7,33.5
4/03/2012,22.8,73,10.6,34.2
5/03/2012,21.6,42,1.8,43.6
6/03/2012,19.5,46,0.7,40.3
7/03/2012,17.2,74,13.4,51.1
8/03/2012,17.6,84,59.4,46.8
9/03/2012,20.3,27,0,36.7
10/03/2012,19.9,28,0,43.6
11/03/2012,20.2,33,0,36
12/03/2012,20.7,73,0.5,39.6
13/03/2012,21.2,14,0,32
14/03/2012,21.1,72,0.1,34.9
15/03/2012,21.9,60,0,36.7
16/03/2012,22.6,51,0.4,33.1
17/03/2012,20.1,79,7.4,40
18/03/2012,19.6,54,0.7,50.4
19/03/2012,20.1,56,0.1,50
20/03/2012,20.7,70,0.2,31
21/03/2012,21.7,70,0.1,31
22/03/2012,19.4,74,0.1,53.6
23/03/2012,19.9,6,0,37.4
24/03/2012,17.5,3,0,34.9
25/03/2012,17.9,51,1.4,28.1
26/03/2012,19.6,26,0,30.6
27/03/2012,20.4,79,0.3,31
28/03/2012,20.8,80,2.5,28.1
29/03/2012,20.6,23,1.3,25.2
30/03/2012,19.5,40,1.6,23
31/03/2012,19.7,26,0,19.8
1/04/2012,20.1,45,1,25.6
